CATEGORY,COMMON.NAME,STATE,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION.DATE,OBSERVER.ID,SAMPLING.EVENT.IDENTIFIER,GROUP.IDENTIFIER,SPECIES.COMMENTS,year,month,daym,source,group.id
species,Black Kite,Karnataka,,"Legacy Horse Riding School Bengaluru, Adjacent to Sahakarnagar, Byre Gowda Farms, 3rd cross, Kodigehalli -, Thindlu Rd, Maruthi Layout, Virupakshapura,, Maruthi Layout, Virupakshapura, Bengaluru, Karnataka 560097, India",13.0607328,77.5717543,5/10/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,10,ARRC,
species,Jungle Crow,Karnataka,,"4th B Cross Rd, Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka 560097",NULL,NULL,5/15/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,15,ARRC,
species,Flower Pecker,Karnataka,,"XHQH+P4W, 4th Block, Kumara Park West, Sampangiram Nagar, Bengaluru, Karnataka 560020",NULL,NULL,5/15/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,15,ARRC,
species,Asian Koel,Karnataka,,"Injured koel location: 106, Lakeshore Homes, Kasavanahalli main road, Carmalaram post, Bengaluru-560035 Phone:9900217104",NULL,NULL,5/16/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,16,ARRC,
species,Coppersmith Barbet,Karnataka,,"FIRE LUXUR Developers Pvt. Ltd., # 239, Anchemuskur Village, Lakkur Hobli, Chikkathirupathi Post, Malur Taluk, Bengaluru, Karnataka 563130",NULL,NULL,5/18/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,18,ARRC,
species,Asian Koel,Karnataka,,"8, Jeevanahalli Main Rd, Jeevanhalli, Cox Town, Bengaluru, Karnataka 560005, India",12.9987601,77.6284934,5/21/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,21,ARRC,
species,Asian Koel,Karnataka,,"26/2/2 60Ft Road Sai Complex, Jakkur Main Rd, opp. Vdb Appt Shivanahalli, Nehru Nagar, Bengaluru, Karnataka 560064, India",13.0907766,77.6022565,5/21/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,21,ARRC,
species,Asian Koel,Karnataka,,"XH4V+V5Q Bengaluru, Karnataka",NULL,NULL,5/21/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,21,ARRC,
species,Coppersmith Barbet,Karnataka,,"2975, 5th Cross Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India",12.9690993,77.64397,5/28/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,28,ARRC,
species,Spotted Dove,Karnataka,,"3rd Main Road, 233, 4th B Cross Rd, HRBR Layout 3rd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",13.0246179,77.6345453,5/30/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,30,ARRC,
species,Great Tit,Karnataka,,"Villa-9, PRESTIGE MAYBERRY, Channasandra, Bengaluru, Karnataka 560067, India",12.9788303,77.7589387,5/31/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,5,31,ARRC,
species,Black Kite,Karnataka,,"Prestige St. Johns Wood, Tavarekere, S.G. Palya, Bengaluru, Karnataka 560029, India",12.9291842,77.6113477,6/7/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,6,7,ARRC,
species,White-cheeked Barbet,Karnataka,,"XHMW+RWM, Queens Rd, Swamy Shivanandapuram, Vasanth Nagar, Bengaluru, Karnataka 560051, India",12.9846541,77.5973237,6/8/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,6,8,ARRC,
species,Black Kite,Karnataka,,"31/1b, Kodichikknahalli, Rotary Nagar, Bommanahalli, Bengaluru, Karnataka 560076",NULL,NULL,6/12/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,6,12,ARRC,
species,Greater Coucal,Karnataka,,"Karnataka Golf Association 1, Golf Avenue, Off Airport Road P.B.No. 817, Embassy Golf Links Business Park, Challaghatta, Bengaluru, Karnataka 560008, India",12.95653,77.6446125,6/14/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,6,14,ARRC,
species,White-cheeked Barbet,Karnataka,,"216, 8th A Main Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",13.0167718,77.6454571,6/22/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,6,22,ARRC,
species,Indian Peafowl,Karnataka,,"#35/1 2nd Floor Chennaraya Swamy Nilaya 1 St E Main Road L N Colony, Yeshwanthpur, H Gurumurthy ReddyColony, Yeswanthpur, Bengaluru, Karnataka 560022, India",13.0233522,77.5548106,6/25/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,6,25,ARRC,
species,Asian Koel,Karnataka,,"#336/4 Sri Basaveshwra nilaya Bahubalinagar, Bahubali Nagar, Jalahalli, Bengaluru, Karnataka 560013, India",13.0447435,77.5477553,6/27/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,6,27,ARRC,
species,White-cheeked Barbet,Karnataka,,"56, 11th Cross Rd, Lakkasandra, Lakkasandra Extension, Wilson Garden, Bengaluru, Karnataka 560027, India",12.9464539,77.5966088,7/1/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,1,ARRC,
species,White-cheeked Barbet,Karnataka,,"7, Kalhalli Rd, Kalhalli, Bengaluru, Karnataka 560042, India",12.9879265,77.6245027,7/4/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,4,ARRC,
species,Asian Koel,Karnataka,,"8, Lazar Layout, Cooke Town, Bengaluru, Karnataka 560005, India",13.00224,77.6204135,7/8/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,8,ARRC,
species,Asian Koel,Karnataka,,"31, Banaswadi Railway Station Rd, Bl Rice Nagar, Cooke Town, Bengaluru, Karnataka 560005, India",13.007019,77.6239591,7/14/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,14,ARRC,
species,Shikra,Karnataka,,"No L149 Ground floor, 5th Main Rd, opp. House Joy, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India",12.915409,77.6322976,7/16/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,16,ARRC,
species,Common Kingfisher,Karnataka,,"Sringeri, Karnataka 577139, India",13.4197675,75.2566564,7/18/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,18,ARRC,
species,Asian Koel,Karnataka,,"824, 10th A Main Rd, Stage 2, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038, India",12.9772966,77.6389229,7/21/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,21,ARRC,
species,Indian Myna,Karnataka,,"Surabhi Beauty Parlour, Indiranagar Club, 4th Cross Rd, near Indiranagar Club, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038, India",12.9725383,77.6434812,7/22/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,22,ARRC,
species,Brahminy Kite,Karnataka,,"CS-Indiranagara 12th Main, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008, India",12.9706841,77.6412213,7/22/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,22,ARRC,
species,White-cheeked Barbet,Karnataka,,"Kacharakanahalli, Bengaluru, Karnataka 560043",NULL,NULL,7/25/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,7,25,ARRC,
species,Purple-rumped Sunbird,Karnataka,,"Columbia Asia Hospital, MANTRI FLORA, Amblipura, PWD Quarters, Ambalipura, Bellandur, Bengaluru, Karnataka 560102, India",12.9197865,77.6655016,8/9/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,8,9,ARRC,
species,Jungle Crow,Karnataka,,"22, Sajjan Rao Road, Kondajji Basappa Rd, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004, India",12.9537047,77.5767614,8/14/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,8,14,ARRC,
species,Little Cormorant,Karnataka,,"K R Puram Railway Station, Dooravani Nagar, Bengaluru, Karnataka 560016, India",13.0004953,77.6762452,8/17/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,8,17,ARRC,
species,House Crow,Karnataka,,"3, 2nd South Cross Rd, Richard Xavier's colony, Neelasandra, Bengaluru, Karnataka 560047, India",12.9591439,77.6143549,8/21/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,8,21,ARRC,
species,Jungle Myna,Karnataka,,"1st floor madhura complex kothanur Kothanur 560077, Narayanapura, Bengaluru, Karnataka 560077, India",13.0609079,77.6487813,8/24/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,8,24,ARRC,
species,Rose-ringed Parakeet,Karnataka,,"300/1B, 16th Cross Rd, Sadashiva Nagar, Armane Nagar, Bengaluru, Karnataka 560080, India",13.0063761,77.581161,9/3/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,9,3,ARRC,
species,White-cheeked Barbet,Karnataka,,"463, 12th Main Rd, Raj Mahal Vilas Extension, Armane Nagar, Bengaluru, Karnataka 560080, India",13.0124632,77.5767238,9/6/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,9,6,ARRC,
species,White-cheeked Barbet,Karnataka,,"VMJQ+2G Bengaluru, Karnataka, India",12.8800349,77.688809,9/18/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,9,18,ARRC,
species,Indian Palm Squirrel,Karnataka,,"4/1, RBI Colony, Hebbal, Bengaluru, Karnataka 560024, India",13.0287967,77.5866789,9/19/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,9,19,ARRC,
species,White-cheeked Barbet,Karnataka,,"5th floor, Sai Venkataram, #33, Annaswamy Mudaliar Rd, Hermit Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India",12.9853121,77.6184136,9/26/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,9,26,ARRC,
species,Indian Pitta,Karnataka,,"13.1157530, 77.4800350",NULL,NULL,9/28/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,9,28,ARRC,
species,Indian Pitta,Karnataka,,"Sobha Hibiscus Tower-1, Sobha Hibiscus, Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103, India",12.9230124,77.6685142,10/4/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,4,ARRC,
species,Indian Pitta,Karnataka,,"1056, GD Layout, BEL Layout 2nd Block, Chamundeswari Layout, Vidyaranyapura, Bengaluru, Karnataka 560014, India",13.0709176,77.5578682,10/5/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,5,ARRC,
species,White-cheeked Barbet,Karnataka,,"102, 3rd Cross Rd, Defence Colony, Indiranagar, Bengaluru, Karnataka 560038, India",12.9762339,77.6428558,10/14/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,14,ARRC,
species,Indian Pitta,Karnataka,,"2JRP+VJ Bengaluru, Karnataka, India",13.0421722,77.6366089,10/15/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,15,ARRC,
species,White-throated kingfisher,Karnataka,,"2JVC+8FG, Road, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",13.0432622,77.6211929,10/17/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,17,ARRC,
species,Indian Pitta,Karnataka,,"XJFG+MXW, Jogupalya Rd, Halasuru, Lingayana Palya, Jogupalya, Bengaluru, Karnataka 560008, India",12.974354,77.6275907,10/18/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,18,ARRC,
species,Grey Wagtail,Karnataka,,Outer ring road banga,NULL,NULL,10/18/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,19,ARRC,
species,Indian Pitta,Karnataka,,"57, 4th Cross Rd, Kodandarama? Reddy Layout, Subramani Layout, Vijinapura, Dooravani Nagar, Bengaluru, Karnataka 560016, India",13.0099391,77.669487,10/19/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,19,ARRC,
species,White-cheeked Barbet,Karnataka,,"873, Davis Rd, Sagayapura, Richards Town, Bengaluru, Karnataka 560084, India",13.0065423,77.6132771,10/19/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,19,ARRC,
species,White-cheeked Barbet,Karnataka,,"33, Stage 2, Domlur, Bengaluru, Karnataka 560075, India",12.9652687,77.6382067,10/19/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,19,ARRC,
species,Indian Pitta,Karnataka,,"Ashok Vattika,8, 6th Main C, 4th Block, Main Road, 4th Block, Jayanagar, Bengaluru, Karnataka 560011, India",12.92871,77.5814591,10/20/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,20,ARRC,
species,Indian Pitta,Karnataka,,"1st Cross Rd, D Costa Layout, Maruthi Sevanagar, Bengaluru, Karnataka 560005",NULL,NULL,10/20/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,20,ARRC,
species,Indian Pitta,Karnataka,,"13, Bannerghatta Main Rd, OLd Gurappanapalya, 1st Stage, BTM Layout, Bengaluru, Karnataka 560029, India",12.9250989,77.6023026,10/21/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,21,ARRC,
species,Rose-ringed Parakeet,Karnataka,,"BLOCK-E, R & S LAKEVIEW, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560064, India",13.0630298,77.6232093,10/27/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,27,ARRC,
species,Black Kite,Karnataka,,"87, 8th Main Rd, V . V Nagar, HMT Layout, Dinnur, Ganganagar, Bengaluru, Karnataka 560032, India",13.0252495,77.5938967,10/27/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,27,ARRC,
species,Asian Koel,Karnataka,,"21, 4th Cross Rd, Basaveshwara Layout, Ramakrishnappa Layout, Nagashetty Halli, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",13.0441592,77.5729708,10/28/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,28,ARRC,
species,Indian Pitta,Karnataka,,"178/11, 2nd Cross Rd, Wilson Garden, Bengaluru, Karnataka 560027, India",12.9507606,77.5929204,10/29/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,29,ARRC,
species,Indian Pitta,Karnataka,,"NO.21, DURGA NIVAS APPT, NEAR 4TH CROSS, SEETHAPPA LAYOUT, NEAR PHEONIX BAR R.T.NAGAR POST, Ganganagar, Bengaluru, Karnataka 560032, India",13.0227142,77.586941,10/30/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,30,ARRC,
species,Green bee-eater,Karnataka,,"Ds Max Skyscape Block-A, DS MAX SKYSCAPE, 235, Kada Agrahara Main Rd, Rampura, Bengaluru, Karnataka 562149, India",13.0552414,77.6826743,10/30/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,10,30,ARRC,
species,Black Kite,Karnataka,,"32, 17th Cross Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102, India",12.912284,77.6387219,11/10/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,11,10,ARRC,
species,Other,Karnataka,,"Medahalli, Madras Bombay Trunk Rd, Hosabasavanapura, Krishnarajapura, Bengaluru, Karnataka 560049, India",13.0258601,77.7201583,11/17/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,11,17,ARRC,
species,Asian Koel,Karnataka,,"408, 6th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038, India",12.9737647,77.641732,11/27/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,11,27,ARRC,
species,Red-whiskered bulbul,Karnataka,,"Rupa Apartment, 2nd Cross Street, Kalkere Main Road, MV Nagar, Ramamurthy Nagar, Bengaluru, Karnataka 560016, India",13.0200126,77.6772961,12/7/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,12,7,ARRC,
species,Black Kite,Karnataka,,"653, Triveni Main Rd, Nanjappa Reddy Colony, Yeswanthpur, Bengaluru, Karnataka 560022, India",13.0241145,77.5595739,12/16/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,12,16,ARRC,
species,Black Kite,Karnataka,,"2J7F+3H7, Kariyannapalya, Kadugondanahalli, Bengaluru, Karnataka 560084, India",13.0126877,77.6238881,12/19/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,12,19,ARRC,
species,Indian Palm Squirrel,Karnataka,,"2079, 3rd Block, 2nd Cross, Hbr Layout, Hbr Layout, HRBR Layout 3rd Block, Keshava Nagar, Kacharakanahalli, Bengaluru, Karnataka 560084, India",13.0229495,77.632419,12/23/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,12,23,ARRC,
species,Black Kite,Karnataka,,"XJ85+X9W Bengaluru, Karnataka",NULL,NULL,12/24/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,12,24,ARRC,
species,Black Kite,Karnataka,,"17, 2nd Cross Road, SVGP Layout, near Sunny layout, Sunny Layout, Green Woods Layout, Margondanahalli, Bengaluru, Karnataka 560036, India",13.0355219,77.6867376,12/31/2022,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2022,12,31,ARRC,
species,Black Kite,Karnataka,,"Shop # 2nd&3rd, Pottery Rd, Richards Town, Bengaluru, Karnataka 560005, India",13.0022801,77.6129959,1/5/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,5,ARRC,
species,Black Kite,Karnataka,,"183/ 2, 12 cross, Venkatapura Main Rd, near car Service, Teacher's Colony, Santhosapuram, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India",12.91905682,77.63116982,1/6/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,6,ARRC,
species,Blyth's Reed Warbler,Karnataka,,"WMPV+297, Kaverappa Layout, Kadubeesanahalli, Kadabeesanahalli, Bengaluru, Karnataka 560103, India",12.9350567,77.6932667,1/6/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,6,ARRC,
species,Black Kite,Karnataka,,"29, 1st Cross Rd, Sundara Nagar, Gokula Extension, Mathikere, Bengaluru, Karnataka 560054, India",13.042126,77.5575415,1/9/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,9,ARRC,
species,Black Kite,Karnataka,,"Sls Sunny Gardens Block-B, 3, 6th Main Rd, Nisarga Layout, Doddanekundi, Marathahalli, Bengaluru, Karnataka 560037, India",12.9688523,77.6977153,1/10/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,10,ARRC,
species,White-cheeked Barbet,Karnataka,,"301-a, Rekhi Brooklyn Apartments, 63, Dodda Banaswadi Main Rd, Jaibharath Nagar, Sanjeevappa Layout, Maruthi Sevanagar, Bengaluru, Karnataka 560033, India",13.0012257,77.6299994,1/10/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,10,ARRC,
species,Indian Golden Oriole,Karnataka,,"Sruthika Springfields Tower-1, SRUTHIKA SPRINGFIELDS, Singapura Village, Varadharaja Nagar, Bengaluru, Karnataka 560014, India",13.077618,77.5388114,1/11/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,11,ARRC,
species,Spotted Owlet,Karnataka,,"60/4, Dommasandra Village, Sarjapur, Bengaluru, Karnataka 562125",NULL,NULL,1/12/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,12,ARRC,
species,White-cheeked Barbet,Karnataka,,"22,Ground floor, 5th main, 6th Cross Rd, Jayamahal Extension, Jayamahal, Bengaluru, Karnataka 560046, India",13.0018873,77.5974219,1/19/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,19,ARRC,
species,Black Kite,Karnataka,,"877, 1s Stage, 4th Block, 5th Cross Rd, HBR Layout 2nd Block, Stage 1, HBR Layout, Bengaluru, Karnataka 560043, India",13.0254397,77.6277331,1/23/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,23,ARRC,
species,Barn Owl,Karnataka,,"Mfar Green Heart, Embassy Manyata Tech park Off Nagavara, Hebbal, Outer Ring Rd, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",13.0451175,77.62131153,1/25/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,25,ARRC,
species,House Crow,Karnataka,,"360A, 2nd Cross Rd, BSV Reddy Layout, Domlur, Bengaluru, Karnataka 560016, India",13.0142174,77.6749541,1/30/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,1,30,ARRC,
species,Purple-rumped Sunbird,Karnataka,,"VMW8+V2W Rbd Stillwaters 2, Lakedew Residency- Phase 2, Haralur, Karnataka 560068, India",12.8974328,77.6654079,2/3/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,3,ARRC,
species,Black Kite,Karnataka,,"2JGG+RX2, 4th Main Rd, 3rd Block, HBR Layout, Bengaluru, Karnataka 560043, India",13.0270625,77.6275276,2/5/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,5,ARRC,
species,Alexandrine Parakeet,Karnataka,,"XJR8+FF5, Promenade Rd, Sindhi Colony, Pulikeshi Nagar, Bengaluru, Karnataka 560005, India",12.9914239,77.6164181,2/11/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,11,ARRC,
species,Coppersmith Barbet,Karnataka,,"14, Heerachand Rd, Cox Town, Bengaluru, Karnataka 560005, India",12.9940198,77.6246442,2/15/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,15,ARRC,
species,Black Kite,Karnataka,,"123, Batrahalli Rd, Sannatammanahalli, Battarahalli, Bengaluru, Karnataka 560049, India",13.0205536,77.7093015,2/18/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,18,ARRC,
species,White-cheeked Barbet,Karnataka,,"No.9, Clarke Rd, Sagayapura, Richards Town, Bengaluru, Karnataka 560005, India",13.005389,77.617706,2/18/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,18,ARRC,
species,Alexandrine Parakeet,Karnataka,,"BSV Amble Harvest 4th, left cross, L G lakedew, Rampura Main Road, Essel gardens, Bengaluru, Karnataka 560077, India",13.050965,77.6675683,2/19/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,19,ARRC,
species,Coppersmith Barbet,Karnataka,,"Rajanukunte, Karnataka, India",13.1746853,77.5484756,2/21/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,21,ARRC,
species,Asian Koel,Karnataka,,"Apollo clinic,673/A, Varthur Road Near Kundalahalli Signal, Whitefield, BEML Layout, Brookefield, Bengaluru, Karnataka 560066, India",12.955919,77.7169159,2/21/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,21,ARRC,
species,White-cheeked Barbet,Karnataka,,"166, Thimmaiah Rd, Kaverappa Layout, Vasanth Nagar, Bengaluru, Karnataka 560051, India",12.9918319,77.5968281,2/24/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,24,ARRC,
species,Spotted Owlet,Karnataka,,"53/B,3rd A cross, 30th Main Rd, BTM 2nd Stage, Kuvempu Nagar, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India",12.9130989,77.6156143,2/25/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,2,25,ARRC,
species,Jungle Crow,Karnataka,,"360, 12th Cross Rd, Dollars Colony, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",13.0398504,77.5681634,3/2/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,3,2,ARRC,
species,Asian Koel,Karnataka,,"7, 3rd B Main Rd, Kempanna Layout, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",13.0238268,77.6365624,3/3/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,3,3,ARRC,
species,Shikra,Karnataka,,"Polaris, Railway Parallel Rd, 4th Block, Kumara Park West, Sampangiram Nagar, Bengaluru, Karnataka 560020, India",12.9905427,77.5790106,3/14/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,3,14,ARRC,
species,White-cheeked Barbet,Karnataka,,"15, 12th Cross Rd, 1st Block, Rajajinagar, Bengaluru, Karnataka 560010, India",13.0016811,77.55175,3/15/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,3,15,ARRC,
species,Asian Koel,Karnataka,,"Indian post office, Jal Vayu Vihar, Bengaluru, Karnataka 560084, India",13.0224474,77.6343527,3/18/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,3,18,ARRC,
species,Oriental Magpie-robin,Karnataka,,"34, 1st Cross Rd, near Casa Miller Apartment, AALCO Layout, Byadarahalli, Benson Town, Bengaluru, Karnataka 560046, India",12.9955882,77.6027528,3/19/2023,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",,,Collision,2023,3,19,ARRC,
