"COMMON.NAME","SCIENTIFIC.NAME"
"Alpine Swift","Apus melba"
"Eurasian Hoopoe","Upupa epops"
"Orange Minivet","Pericrocotus flammeus"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Gray-headed Bulbul","Brachypodius priocephalus"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Yellow-bellied Fairy-Fantail","Chelidorhynx hypoxanthus"
"Osprey","Pandion haliaetus"
"Common Iora","Aegithina tiphia"
"Baya Weaver","Ploceus philippinus"
"Himalayan Cuckoo","Cuculus saturatus"
"Red-headed Vulture","Sarcogyps calvus"
"Striated Laughingthrush","Grammatoptila striata"
"Black-headed Ibis","Threskiornis melanocephalus"
"Himalayan Griffon","Gyps himalayensis"
"Gadwall","Mareca strepera"
"Asian Openbill","Anastomus oscitans"
"Large-billed Crow","Corvus macrorhynchos"
"Brown-breasted Flycatcher","Muscicapa muttui"
"Green-winged Teal","Anas crecca"
"Large Cuckooshrike","Coracina macei"
"Plain Prinia","Prinia inornata"
"Pied Kingfisher","Ceryle rudis"
"Terek Sandpiper","Xenus cinereus"
"Indian White-eye","Zosterops palpebrosus"
"Common Redshank","Tringa totanus"
"Large Gray Babbler","Turdoides malcolmi"
"Caspian Tern","Hydroprogne caspia"
"Indian Courser","Cursorius coromandelicus"
"House Crow","Corvus splendens"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Bar-winged Flycatcher-shrike","Hemipus picatus"
"Streaked Weaver","Ploceus manyar"
"White-throated Laughingthrush","Ianthocincla albogularis"
"Streaked Laughingthrush","Trochalopteron lineatum"
"Black-throated Sunbird","Aethopyga saturata"
"Rufous Treepie","Dendrocitta vagabunda"
"Ruddy Shelduck","Tadorna ferruginea"
"Jungle Prinia","Prinia sylvatica"
"Spotted Owlet","Athene brama"
"Rose-ringed Parakeet","Psittacula krameri"
"Common Woodshrike","Tephrodornis pondicerianus"
"White-rumped Munia","Lonchura striata"
"White Wagtail","Motacilla alba"
"Imperial Eagle","Aquila heliaca"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Himalayan Bulbul","Pycnonotus leucogenys"
"Chestnut-bellied Sandgrouse","Pterocles exustus"
"Brahminy Kite","Haliastur indus"
"Speckled Piculet","Picumnus innominatus"
"Marsh Sandpiper","Tringa stagnatilis"
"Painted Stork","Mycteria leucocephala"
"Temminck's Stint","Calidris temminckii"
"Brown-cheeked Fulvetta","Alcippe poioicephala"
"Black-rumped Flameback","Dinopium benghalense"
"Nepal Fulvetta","Alcippe nipalensis"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Oriental Darter","Anhinga melanogaster"
"Black Eagle","Ictinaetus malaiensis"
"Laughing Dove","Streptopelia senegalensis"
"Ashy Prinia","Prinia socialis"
"Pied Cuckoo","Clamator jacobinus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Black-crested Bulbul","Rubigula flaviventris"
"Rufous-naped Tit","Periparus rufonuchalis"
"Northern Shoveler","Spatula clypeata"
"Eurasian Kestrel","Falco tinnunculus"
"Brown Shrike","Lanius cristatus"
"Rosy Starling","Pastor roseus"
"Ashy Drongo","Dicrurus leucophaeus"
"Alexandrine Parakeet","Psittacula eupatria"
"Dark-fronted Babbler","Rhopocichla atriceps"
"Eurasian Moorhen","Gallinula chloropus"
"Long-legged Buzzard","Buteo rufinus"
"Black-crowned Sparrow-Lark","Eremopterix nigriceps"
"Tawny Pipit","Anthus campestris"
"Black-necked Crane","Grus nigricollis"
"Blue-cheeked Bee-eater","Merops persicus"
"Black Redstart","Phoenicurus ochruros"
"Scaly-breasted Munia","Lonchura punctulata"
"Fulvous-breasted Woodpecker","Dendrocopos macei"
"Malabar Starling","Sturnia blythii"
"Indian Golden Oriole","Oriolus kundoo"
"Jungle Bush-Quail","Perdicula asiatica"
"Tawny-bellied Babbler","Dumetia hyperythra"
"Barn Swallow","Hirundo rustica"
"Ferruginous Duck","Aythya nyroca"
"Golden Eagle","Aquila chrysaetos"
"Eurasian Spoonbill","Platalea leucorodia"
"Small Minivet","Pericrocotus cinnamomeus"
"Chestnut-tailed Starling","Sturnia malabarica"
"Great Barbet","Psilopogon virens"
"Shikra","Accipiter badius"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Indian Gray Hornbill","Ocyceros birostris"
"Collared Owlet","Glaucidium brodiei"
"Tree Pipit","Anthus trivialis"
"White-bellied Erpornis","Erpornis zantholeuca"
"Lemon-rumped Warbler","Phylloscopus chloronotus"
"Indian Vulture","Gyps indicus"
"Greater Spotted Eagle","Clanga clanga"
"Greater Painted-Snipe","Rostratula benghalensis"
"Black-bellied Plover","Pluvialis squatarola"
"Tawny Eagle","Aquila rapax"
"Ashy Woodswallow","Artamus fuscus"
"Ruff","Calidris pugnax"
"Mountain Scops-Owl","Otus spilocephalus"
"Red Avadavat","Amandava amandava"
"Gray Francolin","Francolinus pondicerianus"
"Coal Tit","Periparus ater"
"Falcated Duck","Mareca falcata"
"Crested Treeswift","Hemiprocne coronata"
"Taiga Flycatcher","Ficedula albicilla"
"Rock Bush-Quail","Perdicula argoondah"
"Sarus Crane","Antigone antigone"
"Black-throated Accentor","Prunella atrogularis"
"Gray-bellied Tesia","Tesia cyaniventer"
"Sirkeer Malkoha","Taccocua leschenaultii"
"Spot-breasted Fantail","Rhipidura albogularis"
"Red Collared-Dove","Streptopelia tranquebarica"
"Brown-backed Needletail","Hirundapus giganteus"
"Brown-headed Barbet","Psilopogon zeylanicus"
"Orange-bellied Leafbird","Chloropsis hardwickii"
"White-browed Bulbul","Pycnonotus luteolus"
"Long-tailed Sibia","Heterophasia picaoides"
"White-winged Redstart","Phoenicurus erythrogastrus"
"Hume's Lark","Calandrella acutirostris"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Tickell's Leaf Warbler","Phylloscopus affinis"
"Striated Prinia","Prinia crinigera"
"Kalij Pheasant","Lophura leucomelanos"
"Lineated Barbet","Psilopogon lineatus"
"Changeable Hawk-Eagle","Nisaetus cirrhatus"
"Oriental Pied-Hornbill","Anthracoceros albirostris"
"Little Ringed Plover","Charadrius dubius"
"Oriental Pratincole","Glareola maldivarum"
"Slaty-breasted Rail","Lewinia striata"
"Wayanad Laughingthrush","Ianthocincla delesserti"
"Great Gray Shrike","Lanius excubitor"
"Kentish Plover","Charadrius alexandrinus"
"Mountain Imperial-Pigeon","Ducula badia"
"Long-tailed Minivet","Pericrocotus ethologus"
"Western Yellow Wagtail","Motacilla flava"
"Little Spiderhunter","Arachnothera longirostra"
"Indian Peafowl","Pavo cristatus"
"Black Stork","Ciconia nigra"
"Crested Lark","Galerida cristata"
"Painted Francolin","Francolinus pictus"
"White-bellied Minivet","Pericrocotus erythropygius"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Blue-tailed Bee-eater","Merops philippinus"
"Western Crowned Warbler","Phylloscopus occipitalis"
"Asian Pied Starling","Gracupica contra"
"Spot-winged Starling","Saroglossa spilopterus"
"Yellow-bellied Warbler","Abroscopus superciliaris"
"Hen Harrier","Circus cyaneus"
"Scarlet Minivet","Pericrocotus speciosus"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Black Francolin","Francolinus francolinus"
"Gray-winged Blackbird","Turdus boulboul"
"Bar-tailed Treecreeper","Certhia himalayana"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Rufous Sibia","Heterophasia capistrata"
"Black-winged Stilt","Himantopus himantopus"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Black-winged Cuckooshrike","Lalage melaschistos"
"Egyptian Vulture","Neophron percnopterus"
"Purple Sunbird","Cinnyris asiaticus"
"Red-breasted Flycatcher","Ficedula parva"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Desert Wheatear","Oenanthe deserti"
"Common Chiffchaff","Phylloscopus collybita"
"Northern Lapwing","Vanellus vanellus"
"Mallard","Anas platyrhynchos"
"Greater Necklaced Laughingthrush","Ianthocincla pectoralis"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"White-throated Dipper","Cinclus cinclus"
"Indian Thick-knee","Burhinus indicus"
"Black-breasted Weaver","Ploceus benghalensis"
"Purple Heron","Ardea purpurea"
"Knob-billed Duck","Sarkidiornis melanotos"
"White-tailed Lapwing","Vanellus leucurus"
"Paddyfield Pipit","Anthus rufulus"
"Jack Snipe","Lymnocryptes minimus"
"Pied Avocet","Recurvirostra avosetta"
"Pacific Golden-Plover","Pluvialis fulva"
"Red Junglefowl","Gallus gallus"
"Citrine Wagtail","Motacilla citreola"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Jungle Owlet","Glaucidium radiatum"
"Heart-spotted Woodpecker","Hemicircus canente"
"Gray-throated Martin","Riparia chinensis"
"Gull-billed Tern","Gelochelidon nilotica"
"Whiskered Tern","Chlidonias hybrida"
"Graylag Goose","Anser anser"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Zitting Cisticola","Cisticola juncidis"
"Red-naped Ibis","Pseudibis papillosa"
"Slaty-blue Flycatcher","Ficedula tricolor"
"Indochinese Roller","Coracias affinis"
"Booted Warbler","Iduna caligata"
"Spotted Redshank","Tringa erythropus"
"Plain Mountain-Finch","Leucosticte nemoricola"
"Isabelline Wheatear","Oenanthe isabellina"
"Common Crane","Grus grus"
"Demoiselle Crane","Anthropoides virgo"
"Brown Dipper","Cinclus pallasii"
"Scaly-bellied Woodpecker","Picus squamatus"
"Hoary-throated Barwing","Actinodura nipalensis"
"Lesser Whitethroat","Sylvia curruca"
"Nilgiri Flowerpecker","Dicaeum concolor"
"Eurasian Crag-Martin","Ptyonoprogne rupestris"
"Pink-browed Rosefinch","Carpodacus rodochroa"
"Pallid Harrier","Circus macrourus"
"Blue-capped Redstart","Phoenicurus coeruleocephala"
"Greater Sand-Plover","Charadrius leschenaultii"
"Blue-faced Malkoha","Phaenicophaeus viridirostris"
"Rufous-breasted Accentor","Prunella strophiata"
"Bluethroat","Luscinia svecica"
"Indian Nuthatch","Sitta castanea"
"Wire-tailed Swallow","Hirundo smithii"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Black Bittern","Ixobrychus flavicollis"
"Hume's Warbler","Phylloscopus humei"
"Yellow-throated Sparrow","Gymnoris xanthocollis"
"Great White Pelican","Pelecanus onocrotalus"
"Siberian Crane","Leucogeranus leucogeranus"
"White Stork","Ciconia ciconia"
"Glossy Ibis","Plegadis falcinellus"
"Dusky Eagle-Owl","Bubo coromandus"
"Indian Spotted Eagle","Clanga hastata"
"Red-crested Pochard","Netta rufina"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Orange-headed Thrush","Geokichla citrina"
"European Starling","Sturnus vulgaris"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"White-tailed Iora","Aegithina nigrolutea"
"Sulphur-bellied Warbler","Phylloscopus griseolus"
"Tufted Duck","Aythya fuligula"
"Large-tailed Nightjar","Caprimulgus macrurus"
"Streak-throated Swallow","Petrochelidon fluvicola"
"Indian Spotted Creeper","Salpornis spilonota"
"Peregrine Falcon","Falco peregrinus"
"Lesser Sand-Plover","Charadrius mongolus"
"Crested Kingfisher","Megaceryle lugubris"
"Asian Fairy-bluebird","Irena puella"
"Barred Cuckoo-Dove","Macropygia unchall"
"Black-headed Gull","Chroicocephalus ridibundus"
"Sykes's Short-toed Lark","Calandrella dukhunensis"
"Barred Buttonquail","Turnix suscitator"
"Long-billed Pipit","Anthus similis"
"Plaintive Cuckoo","Cacomantis merulinus"
"Oriental Skylark","Alauda gulgula"
"Common Snipe","Gallinago gallinago"
"Variegated Laughingthrush","Trochalopteron variegatum"
"Long-toed Stint","Calidris subminuta"
"Northern Goshawk","Accipiter gentilis"
"White-capped Redstart","Phoenicurus leucocephalus"
"Indian Cuckoo","Cuculus micropterus"
"Crimson-backed Sunbird","Leptocoma minima"
"Malabar Pied-Hornbill","Anthracoceros coronatus"
"Common Cuckoo","Cuculus canorus"
"Black-bellied Tern","Sterna acuticauda"
"Ground Tit","Pseudopodoces humilis"
"Gray Junglefowl","Gallus sonneratii"
"Red-billed Chough","Pyrrhocorax pyrrhocorax"
"Mountain Chiffchaff","Phylloscopus sindianus"
"Pallas's Gull","Ichthyaetus ichthyaetus"
"Dusky Warbler","Phylloscopus fuscatus"
"Common Tern","Sterna hirundo"
"White-eyed Buzzard","Butastur teesa"
"Little Bittern","Ixobrychus minutus"
"Macqueen's Bustard","Chlamydotis macqueenii"
"Indian Scops-Owl","Otus bakkamoena"
"Chestnut-crowned Warbler","Phylloscopus castaniceps"
"Altai Accentor","Prunella himalayana"
"White-bellied Blue Flycatcher","Cyornis pallidipes"
"Dusky Crag-Martin","Ptyonoprogne concolor"
"Indian Skimmer","Rynchops albicollis"
"Beautiful Sibia","Heterophasia pulchella"
"White-bellied Heron","Ardea insignis"
"Indian Pitta","Pitta brachyura"
"Eurasian Wren","Troglodytes troglodytes"
"White-tailed Nuthatch","Sitta himalayensis"
"Great Crested Grebe","Podiceps cristatus"
"Pied Harrier","Circus melanoleucos"
"Common Raven","Corvus corax"
"Crab-Plover","Dromas ardeola"
"Rufous-tailed Lark","Ammomanes phoenicura"
"Short-billed Minivet","Pericrocotus brevirostris"
"Small Pratincole","Glareola lactea"
"Jerdon's Bushlark","Mirafra affinis"
"Horned Lark","Eremophila alpestris"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Orange-breasted Green-Pigeon","Treron bicinctus"
"Blue-fronted Redstart","Phoenicurus frontalis"
"Baillon's Crake","Zapornia pusilla"
"Greater Flamingo","Phoenicopterus roseus"
"Malabar Gray Hornbill","Ocyceros griseus"
"Gray-bellied Cuckoo","Cacomantis passerinus"
"Vigors's Sunbird","Aethopyga vigorsii"
"White-capped Bunting","Emberiza stewarti"
"Bay Woodpecker","Blythipicus pyrrhotis"
"Malabar Whistling-Thrush","Myophonus horsfieldii"
"Curlew Sandpiper","Calidris ferruginea"
"Red Spurfowl","Galloperdix spadicea"
"Pin-tailed Snipe","Gallinago stenura"
"Indian Bushlark","Mirafra erythroptera"
"Slender-billed Gull","Chroicocephalus genei"
"Lesser Adjutant","Leptoptilos javanicus"
"Ashy Bulbul","Hemixos flavala"
"Brown Fish-Owl","Ketupa zeylonensis"
"Slaty-headed Parakeet","Psittacula himalayana"
"Brown-capped Woodpecker","Yungipicus nanus"
"Indian Nightjar","Caprimulgus asiaticus"
"Yellow-billed Blue-Magpie","Urocissa flavirostris"
"Savanna Nightjar","Caprimulgus affinis"
"Eastern Orphean Warbler","Sylvia crassirostris"
"Gray Treepie","Dendrocitta formosae"
"Fire-capped Tit","Cephalopyrus flammiceps"
"Cinnamon Bittern","Ixobrychus cinnamomeus"
"Malabar Parakeet","Psittacula columboides"
"Streak-throated Woodpecker","Picus xanthopygaeus"
"Western Reef-Heron","Egretta gularis"
"Black-capped Kingfisher","Halcyon pileata"
"Oriental Scops-Owl","Otus sunia"
"Jungle Myna","Acridotheres fuscus"
"Montagu's Harrier","Circus pygargus"
"Eurasian Griffon","Gyps fulvus"
"Tibetan Snowcock","Tetraogallus tibetanus"
"Rufous Babbler","Turdoides subrufa"
"Jerdon's Leafbird","Chloropsis jerdoni"
"Black-headed Mountain-Finch","Leucosticte brandti"
"Indian Blackbird","Turdus simillimus"
"Indian Yellow Tit","Machlolophus aplonotus"
"Green Warbler","Phylloscopus nitidus"
"Eurasian Curlew","Numenius arquata"
"Ultramarine Flycatcher","Ficedula superciliaris"
"Ruddy-breasted Crake","Zapornia fusca"
"Lesser Yellownape","Picus chlorolophus"
"Pallas's Fish-Eagle","Haliaeetus leucoryphus"
"Rusty-fronted Barwing","Actinodura egertoni"
"Pin-tailed Green-Pigeon","Treron apicauda"
"Rufous-necked Laughingthrush","Ianthocincla ruficollis"
"Yellow-browed Bulbul","Iole indica"
"Common Rosefinch","Carpodacus erythrinus"
"White-headed Starling","Sturnia erythropygia"
"Great Thick-knee","Esacus recurvirostris"
"Fire-fronted Serin","Serinus pusillus"
"Lesser Black-backed Gull","Larus fuscus"
"Rufous-gorgeted Flycatcher","Ficedula strophiata"
"Siberian Rubythroat","Calliope calliope"
"Sanderling","Calidris alba"
"White-eared Bulbul","Pycnonotus leucotis"
"Forest Wagtail","Dendronanthus indicus"
"Black-chinned Babbler","Cyanoderma pyrrhops"
"Plumbeous Redstart","Phoenicurus fuliginosus"
"Mountain Hawk-Eagle","Nisaetus nipalensis"
"Indian Scimitar-Babbler","Pomatorhinus horsfieldii"
"Rain Quail","Coturnix coromandelica"
"Cinereous Vulture","Aegypius monachus"
"Blue-throated Flycatcher","Cyornis rubeculoides"
"Loten's Sunbird","Cinnyris lotenius"
"Velvet-fronted Nuthatch","Sitta frontalis"
"Little Forktail","Enicurus scouleri"
"Richard's Pipit","Anthus richardi"
"Malabar Barbet","Psilopogon malabaricus"
"Koklass Pheasant","Pucrasia macrolopha"
"Crimson Sunbird","Aethopyga siparaja"
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum"
"Square-tailed Bulbul","Hypsipetes ganeesa"
"Nilgiri Flycatcher","Eumyias albicaudatus"
"Flame-throated Bulbul","Rubigula gularis"
"Little Owl","Athene noctua"
"Barn Owl","Tyto alba"
"Rufous-throated Partridge","Arborophila rufogularis"
"Yellow-legged Buttonquail","Turnix tanki"
"White-collared Blackbird","Turdus albocinctus"
"Paddyfield Warbler","Acrocephalus agricola"
"Sand Lark","Alaudala raytal"
"Little Pied Flycatcher","Ficedula westermanni"
"White-rumped Shama","Copsychus malabaricus"
"Himalayan Buzzard","Buteo refectus"
"Whiskered Yuhina","Yuhina flavicollis"
"Tickell's Thrush","Turdus unicolor"
"Graceful Prinia","Prinia gracilis"
"Green-backed Tit","Parus monticolus"
"Rusty-flanked Treecreeper","Certhia nipalensis"
"Ruddy Turnstone","Arenaria interpres"
"Chestnut-bellied Rock-Thrush","Monticola rufiventris"
"Brown Rock Chat","Oenanthe fusca"
"Little Bunting","Emberiza pusilla"
"Mangrove Whistler","Pachycephala cinerea"
"Red-tailed Minla","Minla ignotincta"
"Brown Boobook","Ninox scutulata"
"White-cheeked Partridge","Arborophila atrogularis"
"House Swift","Apus nipalensis"
"Scaly Laughingthrush","Trochalopteron subunicolor"
"Large-billed Leaf Warbler","Phylloscopus magnirostris"
"White-hooded Babbler","Gampsorhynchus rufulus"
"Long-tailed Parakeet","Psittacula longicauda"
"Indian Blue Robin","Larvivora brunnea"
"Black Bulbul","Hypsipetes leucocephalus"
"Gray-headed Woodpecker","Picus canus"
"Black-faced Warbler","Abroscopus schisticeps"
"Desert Lark","Ammomanes deserti"
"Common Shelduck","Tadorna tadorna"
"Brownish-flanked Bush Warbler","Horornis fortipes"
"Mountain Bulbul","Ixos mcclellandii"
"Swamp Francolin","Francolinus gularis"
"Common Hill Myna","Gracula religiosa"
"Gray-hooded Warbler","Phylloscopus xanthoschistos"
"Crimson-breasted Woodpecker","Dryobates cathpharius"
"Spotted Forktail","Enicurus maculatus"
"Great Crested Tern","Thalasseus bergii"
"Gray-sided Bush Warbler","Cettia brunnifrons"
"River Lapwing","Vanellus duvaucelii"
"Black-throated Tit","Aegithalos concinnus"
"Brown-fronted Woodpecker","Dendrocoptes auriceps"
"Brown Crake","Zapornia akool"
"Red-backed Shrike","Lanius collurio"
"Bimaculated Lark","Melanocorypha bimaculata"
"Gray-backed Shrike","Lanius tephronotus"
"Scaly Thrush","Zoothera dauma"
"Scaly-breasted Cupwing","Pnoepyga albiventer"
"White-browed Fulvetta","Fulvetta vinipectus"
"Gray Peacock-Pheasant","Polyplectron bicalcaratum"
"Southern Hill Myna","Gracula indica"
"Rosy Pipit","Anthus roseatus"
"Long-tailed Duck","Clangula hyemalis"
"European Goldfinch","Carduelis carduelis"
"Chestnut-tailed Minla","Actinodura strigula"
"Dollarbird","Eurystomus orientalis"
"Green Imperial-Pigeon","Ducula aenea"
"Blue-winged Minla","Actinodura cyanouroptera"
"Streaked Spiderhunter","Arachnothera magna"
"Black-naped Monarch","Hypothymis azurea"
"Fire-tailed Sunbird","Aethopyga ignicauda"
"White-bellied Woodpecker","Dryocopus javensis"
"Horned Grebe","Podiceps auritus"
"Red-billed Blue-Magpie","Urocissa erythroryncha"
"Gray-fronted Green-Pigeon","Treron affinis"
"Rock Pigeon","Columba livia"
"Upland Pipit","Anthus sylvanus"
"Chukar","Alectoris chukar"
"Red-necked Falcon","Falco chicquera"
"Tricolored Munia","Lonchura malacca"
"Black-winged Snowfinch","Montifringilla adamsi"
"White-naped Woodpecker","Chrysocolaptes festivus"
"Tytler's Leaf Warbler","Phylloscopus tytleri"
"Jerdon's Nightjar","Caprimulgus atripennis"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Asian Emerald Dove","Chalcophaps indica"
"Singing Bushlark","Mirafra cantillans"
"Wedge-tailed Green-Pigeon","Treron sphenurus"
"Himalayan Woodpecker","Dendrocopos himalayensis"
"Fire-breasted Flowerpecker","Dicaeum ignipectus"
"Green-billed Malkoha","Phaenicophaeus tristis"
"Black-headed Jay","Garrulus lanceolatus"
"Buff-chested Babbler","Cyanoderma ambiguum"
"Blue-capped Rock-Thrush","Monticola cinclorhyncha"
"Large Woodshrike","Tephrodornis virgatus"
"Red-headed Trogon","Harpactes erythrocephalus"
"Broad-billed Sandpiper","Calidris falcinellus"
"Great Knot","Calidris tenuirostris"
